"MD_EARN_WNE_P6","HIGHDEG","REGION","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","C150_4","C150_L4","UGDS","UGDS_MEN","NPT4_PUB","NPT4_PRIV","PCIP04","PCIP05","PCIP09","PCIP11","PCIP12","PCIP14","PCIP23","PCIP26","PCIP27","PCIP38","PCIP42","PCIP45","PCIP50","PCIP51","PCIP52","PCIP54","ADM_RATE","SAT_AVG"
51496,NA,"Far West",0.3066,0.0207,0.261,17.9,0.0012,0.001,0.8185,NA,23063,0.4559,16236,NA,0,0.0166,0.064,0.0246,0,0.0396,0.0243,0.1067,0.0655,0.015,0.1163,0.2585,0.0471,0,0.0128,0.0218,0.322,1360
45632,NA,"Far West",0.3035,0.019,0.276,22.31,8e-04,0.0016,0.7447,NA,17792,0.516,17699,NA,0,0.0314,0,0.1288,0,0.0478,0,0.1667,0.0192,0.0119,0.0977,0.129,0.074,0,0.0674,0.0218,0.4737,1311
53764,NA,"Far West",0.5282,0.0174,0.1573,13.04,0.0016,0.0031,0.7877,NA,7026,0.3911,NA,40251,0,0.0019,0.1014,0.0274,0,0.0087,0.0367,0.033,0.0093,0.0149,0.0535,0.0516,0.2004,0.0392,0.313,0.0081,0.5356,1288
65724,NA,"Far West",0.0429,0.3681,0.3313,13.5,0,0,1,NA,163,0.3374,NA,22912,0,0,0,0,0,0,0,0.2759,0,0,0,0,0,0.7241,0,0,0.3727,982
47319,NA,"Far West",0.4899,0.0482,0.2393,8.3,0.0039,0.0045,0.6333,NA,1784,0.38,NA,27220,0,0,0.0644,0,0,0,0.0146,0.0478,0.0125,0,0.1102,0.0104,0.0603,0.2183,0.1996,0.0291,0.6178,1142
34669,NA,"Far West",0.4085,0.1004,0.308,3.13,0.0045,0.0156,0.4444,NA,448,0.5179,NA,34499,0,0,0.1342,0,0,0,0.0134,0.0604,0,0,0.1275,0,0.0134,0,0.1812,0,0.6013,1055
80781,NA,"Far West",0.4158,0.0417,0.1525,11.08,0,8e-04,0.9313,NA,1318,0.522,NA,23889,0,0.0063,0.0159,0.0381,0,0.0032,0.0127,0.1079,0.0254,0.0063,0.0698,0.4317,0.0063,0,0.0667,0.0127,0.0931,1446
63540,NA,"Far West",0.3022,0.0427,0.2389,28.09,0.0055,0.0103,0.717,NA,1264,0.2437,NA,34215,0,0,0.0638,0,0,0,0.0087,0.0986,0,0,0.087,0.0145,0.0609,0.3884,0.1565,0.0087,0.8717,1126
42603,NA,"Far West",0.2756,0.054,0.5125,4.64,0.0121,0.0017,0.6638,NA,2888,0.2718,NA,20706,0,0.0046,0.0291,0,0,0,0,0.0367,0.0138,0.0031,0.0489,0.0153,0.0168,0.0734,0.2263,0.0199,0.8511,1053
112059,NA,"Far West",0.3138,0.035,0.1986,18.85,0.0023,0.0045,0.9192,NA,886,0.5102,NA,32739,0,0,0,0.2378,0,0.3459,0,0.0865,0.0324,0,0,0,0,0,0,0,0.1448,1531
56544,NA,"Far West",0.1565,0.1805,0.4265,9.9,0.0016,0.0208,0.4809,NA,626,0.3466,NA,23175,0,0,0.1346,0,0,0,0.0192,0.0192,0,0,0.1635,0.1058,0.0288,0,0.2596,0.0096,0.7004,849
34180,NA,"Far West",0.4253,0.037,0.3499,2.85,0.0123,0.003,0.5179,NA,7300,0.4323,14897,NA,0,0.0082,0.0469,0.017,0,0.0216,0.0283,0.1308,0.0088,0.0118,0.0778,0.105,0.0556,0,0.0844,0.0196,0.7679,1074
32294,NA,"Far West",0.4067,0.0476,0.379,3.57,0.002,0.002,0.4118,NA,504,0.4722,NA,20060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0.9568,1002
48057,NA,"Far West",0.2073,0.0549,0.5314,5,0.0033,0.0045,0.6912,NA,5098,0.4121,NA,24750,0,0,0.0412,0.013,0,0,0.0202,0.0426,0.0087,0.0029,0.0715,0.0874,0.0173,0.0202,0.4166,0.0029,0.5089,1120
40563,NA,"Far West",0.1224,0.0714,0.4826,16.57,0.0036,0.0138,0.4527,NA,1666,0.3968,NA,21442,0,0,0.0201,0.0141,0,0.006,0.0161,0.0966,0.0101,0.0181,0.0342,0.0161,0.0262,0.2032,0.1167,0.0201,0.4709,1022
42489,NA,"Far West",0.6439,0.0329,0.092,3.12,8e-04,0.0034,0.5962,NA,1185,0.5316,NA,26645,0,0,0.1439,0.0211,0,0,0.0281,0.0491,0.0175,0.0316,0,0.0105,0.0667,0,0.2351,0.0105,0.7688,1143
56826,NA,"Far West",0.4379,0.0705,0.2182,9.56,5e-04,0.0021,0.8358,NA,6557,0.4436,NA,39898,0,0.0075,0.0862,0.0262,0,0.0587,0.0431,0.0493,0.0044,0.005,0.0725,0.1324,0.1543,0,0.2548,0.0137,0.4713,1321
54374,NA,"Far West",0.2295,0.0666,0.2691,7.65,0.0028,0.0297,0.5878,NA,706,0.568,NA,23529,0,0,0,0,0,0,0,0,0,0,0.1122,0,0,0,0.8878,0,0.4548,1042
47240,NA,"Far West",0.3672,0.1057,0.2999,9.25,0.0053,0.0013,0.7356,NA,757,0.004,NA,22774,0,0.0352,0,0.0251,0,0,0.1307,0.1005,0.0201,0.0101,0.1407,0.2261,0.1106,0.0151,0.005,0.0503,0.8554,1158
57246,NA,"Far West",0.0766,0.0647,0.6109,16.09,0.0034,0.0055,0.6358,NA,2349,0.0596,NA,29267,0,0,0.0052,0,0,0,0.0129,0.0413,0.0026,0.0065,0.0839,0.089,0.0155,0.4581,0.1071,0.0052,0.8382,1031
